iter	Passed	Remaining
411	4115	3876
412	4125	3865
413	4135	3855
414	4144	3844
415	4153	3833
416	4162	3823
417	4172	3813
418	4182	3802
419	4192	3793
420	4202	3782
421	4211	3772
422	4221	3762
423	4231	3752
424	4240	3741
425	4251	3732
426	4260	3722
427	4270	3711
428	4280	3701
429	4289	3691
430	4300	3681
431	4309	3671
432	4318	3660
433	4328	3650
434	4338	3640
435	4348	3630
436	4358	3620
437	4367	3610
438	4377	3600
439	4387	3589
440	4397	3579
441	4406	3569
442	4416	3559
443	4426	3548
444	4436	3538
445	4445	3528
446	4455	3518
447	4465	3508
448	4474	3498
449	4484	3488
450	4495	3478
451	4505	3468
452	4515	3458
453	4525	3448
454	4534	3438
455	4545	3429
456	4556	3419
457	4566	3409
458	4576	3399
459	4586	3389
460	4596	3380
461	4607	3370
462	4621	3363
463	4635	3356
464	4652	3352
465	4665	3344
466	4676	3334
467	4688	3326
468	4700	3317
469	4711	3307
470	4721	3298
471	4731	3288
472	4742	3278
473	4751	3268
474	4761	3258
475	4771	3248
476	4781	3238
477	4792	3228
478	4803	3219
479	4813	3209
480	4824	3199
481	4834	3189
482	4843	3178
483	4853	3169
484	4863	3159
485	4874	3149
486	4885	3139
487	4895	3130
488	4905	3120
489	4916	3110
490	4926	3100
491	4936	3090
492	4947	3080
493	4957	3070
494	4967	3060
495	4977	3050
496	4988	3041
497	4999	3031
498	5009	3021
499	5019	3011
500	5029	3001
501	5039	2991
502	5049	2981
503	5059	2971
504	5068	2960
505	5078	2950
506	5088	2940
507	5098	2930
508	5109	2921
509	5120	2911
510	5129	2901
511	5139	2890
512	5148	2880
513	5158	2870
514	5168	2860
515	5178	2850
516	5187	2839
517	5197	2829
518	5207	2819
519	5216	2809
520	5227	2799
521	5237	2789
522	5247	2779
523	5256	2768
524	5267	2758
525	5276	2748
526	5286	2738
527	5296	2728
528	5305	2718
529	5315	2707
530	5324	2697
531	5334	2687
532	5343	2676
533	5353	2666
534	5362	2656
535	5371	2645
536	5380	2635
537	5389	2624
538	5398	2613
539	5407	2603
540	5416	2593
541	5426	2583
542	5435	2572
543	5445	2562
544	5455	2552
545	5465	2542
546	5474	2532
547	5484	2521
548	5493	2511
549	5503	2501
550	5513	2491
551	5523	2481
552	5532	2471
553	5541	2460
554	5551	2450
555	5561	2440
556	5570	2430
557	5581	2420
558	5590	2410
559	5600	2400
560	5610	2390
561	5620	2380
562	5630	2370
563	5640	2360
564	5649	2349
565	5659	2339
566	5668	2329
567	5678	2319
568	5687	2309
569	5696	2298
570	5706	2288
571	5715	2278
572	5725	2268
573	5734	2257
574	5743	2247
575	5752	2237
576	5762	2227
577	5772	2216
578	5781	2206
579	5790	2196
580	5800	2186
581	5809	2176
582	5819	2165
583	5828	2155
584	5838	2145
585	5847	2135
586	5857	2125
587	5868	2115
588	5879	2106
589	5889	2096
590	5899	2086
591	5909	2076
592	5920	2066
593	5931	2057
594	5941	2047
595	5954	2038
596	5966	2028
597	5977	2019
598	5986	2008
599	5995	1998
600	6005	1988
601	6014	1978
602	6023	1967
603	6032	1957
604	6041	1947
605	6050	1936
606	6059	1926
607	6068	1916
608	6077	1906
609	6087	1896
610	6097	1886
611	6106	1875
612	6115	1865
613	6125	1855
614	6135	1845
615	6145	1835
616	6155	1825
617	6164	1815
618	6174	1805
619	6184	1795
620	6193	1785
621	6203	1775
622	6212	1765
623	6222	1755
624	6232	1745
625	6242	1735
626	6251	1725
627	6261	1714
628	6270	1704
629	6280	1694
630	6290	1684
631	6299	1674
632	6309	1664
633	6318	1654
634	6328	1644
635	6338	1634
636	6347	1624
637	6357	1614
638	6367	1604
639	6377	1594
640	6387	1584
641	6397	1574
642	6406	1564
643	6416	1554
644	6425	1544
645	6435	1534
646	6445	1524
647	6454	1514
648	6464	1504
649	6473	1493
650	6483	1483
651	6492	1473
652	6501	1463
653	6510	1453
654	6520	1443
655	6529	1433
656	6538	1423
657	6546	1412
658	6556	1402
659	6565	1392
660	6575	1382
661	6584	1372
662	6593	1362
663	6603	1352
664	6612	1342
665	6621	1332
666	6631	1322
667	6641	1312
668	6650	1302
669	6659	1292
670	6668	1282
671	6678	1272
672	6687	1261
673	6696	1251
674	6706	1241
675	6715	1231
676	6724	1221
677	6733	1211
678	6742	1201
679	6752	1191
680	6761	1181
681	6771	1171
682	6780	1161
683	6789	1151
684	6798	1141
685	6807	1131
686	6816	1121
687	6826	1111
688	6835	1101
689	6845	1091
690	6854	1081
691	6864	1071
692	6873	1061
693	6883	1051
694	6892	1041
695	6901	1031
696	6910	1021
697	6919	1011
698	6929	1001
699	6938	991
700	6947	981
701	6957	971
702	6967	961
703	6977	951
704	6987	941
705	6996	931
706	7005	921
707	7015	911
708	7024	901
709	7034	891
710	7043	881
711	7053	871
712	7063	861
713	7072	851
714	7081	841
715	7091	831
716	7100	821
717	7110	812
718	7119	802
719	7128	792
720	7137	782
721	7146	772
722	7156	762
723	7167	752
724	7176	742
725	7186	732
726	7195	722
727	7206	712
728	7215	702
729	7225	692
730	7235	682
731	7244	673
732	7253	663
733	7263	653
734	7272	643
735	7281	633
736	7291	623
737	7300	613
738	7310	603
739	7319	593
740	7329	583
741	7338	573
742	7347	563
743	7357	553
744	7366	543
745	7375	533
746	7385	523
747	7394	514
748	7403	504
749	7413	494
750	7422	484
751	7433	474
752	7442	464
753	7452	454
754	7462	444
755	7471	434
756	7480	424
757	7490	415
758	7499	405
759	7509	395
760	7518	385
761	7527	375
762	7536	365
763	7546	355
764	7555	345
765	7564	335
766	7573	325
767	7583	315
768	7592	306
769	7602	296
770	7611	286
771	7621	276
772	7631	266
773	7641	256
774	7650	246
775	7659	236
776	7668	226
777	7677	217
778	7686	207
779	7696	197
780	7705	187
781	7715	177
782	7724	167
783	7733	157
784	7743	147
785	7752	138
786	7761	128
787	7770	118
788	7788	108
789	7797	98
790	7807	88
791	7815	78
792	7825	69
793	7834	59
794	7843	49
795	7852	39
796	7861	29
797	7870	19
798	7880	9
799	7889	0
