id,a,b,c,d,e,f,l,target,sex_Man,region_a,region_b,region_c,region_d,region_e,region_f,job_title_Enterpreneur,job_title_Head/Deputy head (division),job_title_Head/Deputy head (organiz.),job_title_NE employee,education_Higher education (one or more),education_Incomplete higher education,education_Primary or lower secondary education,marriage_Cohabitation,marriage_Divorced/widow,marriage_Married,children_0 Zero,children_1 One,children_2 Two,children_3 Three,property_otherwise,property_property,r_No,employment_status_No couple,employment_status_Pensioner,employment_status_Student,employment_status_Unemployed,t_No,u_No,w_No,x_No,v_Few,v_Yes,"age_q_(26.833, 30.417]","age_q_(30.417, 33.583]","age_q_(33.583, 36.667]","age_q_(36.667, 39.917]","age_q_(39.917, 43.5]","age_q_(43.5, 47.667]","age_q_(47.667, 52.417]","age_q_(52.417, 57.25]","age_q_(57.25, 64.917]",g_3,g_4,g_5,g_6,g_9,g_10,g_11,g_13,g_20,g_24,h_0.01,h_1.1,h_1.17,h_1.235,h_1.32,h_1.99,h_2.49,h_2.5,h_2.99,h_3.0,h_3.49,h_3.5
51,0.0588,0.0588,0.0,259.9,0.5775555555555555,0.5775555555555555,89,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,0.0613285714285714,0.04293,258.31,421.59,0.6022714285714286,0.4215899999999999,30,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,0.0561571428571428,0.0561571428571428,0.0,386.06,0.5515142857142857,0.5515142857142857,36,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
54,0.16535,0.16535,258.95,974.35,1.623916666666667,1.623916666666667,26,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
55,0.1332,0.0592,58.21,523.25,1.308125,0.5813888888888888,3,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,0.15882,0.1080408163265306,0.0,779.9,1.5598,1.0610884353741497,9,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,0.0473488372093023,0.0473488372093023,0.0,199.9,0.4648837209302325,0.4648837209302325,180,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
58,0.0707705882352941,0.0707705882352941,0.0,1181.51,0.6950058823529411,0.6950058823529411,10,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,0.1658,0.0773733333333333,0.0,569.9,1.628285714285714,0.7598666666666667,18,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60,0.114825,0.04593,0.0,451.12,1.1278,0.45112,192,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
